Year,Research Title,Name of Faculty Researcher,Status of Research,Date Started,Date of Completion,Title of Forum,Venue,Forum Type,Date of Presentation,is_duplicate,authors,research_theme
2023,The Marinduque State College Research and Extension Experiences through the Years: College Universityhood Program Underpinning,Diosdado P. Zulueta,Completed,2023-07-15,2023-09-15,1st International Multidisciplinary Research and Extension Conference ,"BSC Amphitheater, Batanes State College, Batanes",International,"September 19-22, 2023",False,['Diosdado P. Zulueta'],Other
2023,Flood monitoring and warning system ,Edgardo R. Laririt,Completed,2022-01-10,2023-01-09,1st RAISE Summit Live Technology Pitching ? 1st Regional Research and Innovation Week ,"Dioscoro L. Umali Hall, University of the Philippines, Los Ba�os, Laguna",Regional,25/10/2023,False,['Edgardo R. Laririt'],Other
2023,Influence of Year and Parity on the Reproductive Performance of Markaduke Natie Pigs,Joeauna L. Loto,Completed,2023-05-20,2023-10-20,ISSAAS International Scientific Congress -,"Acacia Hotel Manila, Alabang, Muntinlupa",International,"November 8-10, 2023",False,['Joeauna L. Loto'],Other
2023,"Unmasking the hidden dangers: Assessing the health risk of heavy metals in the soil of Mogpog, Marinduque, Philippines",Ronnel C. Nolos,Completed,2023-01-04,2023-01-09,MHRDC 12th Health Research Forum ? MIMAROPA Health Research and Development Consortium,"Makati Palace Hotel, Manila",Regional,"November 14-15, 2023",False,['Ronnel C. Nolos'],Health
2023,"Lived Experiences of the Adults on the Causes, Sign and Symptoms, and Traditional Treatment for Balis in Selected Barangay in the Municipality of Torrijos ","Lovelie Ann Mataac
Mark Joseph M Ricafrente",Completed,2023-05-08,2023-05-11,MHRDC 12th Health Research Forum ? MIMAROPA Health Research and Development Consortium,"Makati Palace Hotel, Manila",Regional,"November 14-15, 2023",False,"['Lovelie Ann Mataac', 'Mark Joseph M Ricafrente']",Other
2023,"Level of Knowledge, Attitude and Preventive Practices of Farmers Regarding Leptospirosis at Sitio Mansabang, Buliasnin Boac, Marinduque?","Mariel L. Lumalang Ghien Sylveria M. Lasic 
Keth Allen. M. Nambio 
Jeannelle. B. Prieto 
Ma. Rose M. Vitto",Completed,2023-05-08,2023-05-11,MHRDC 12th Health Research Forum ? MIMAROPA Health Research and Development Consortium,"Makati Palace Hotel, Manila ? via Zoom",Regional,"November 14-15, 2023",False,"['Mariel L. Lumalang Ghien Sylveria M. Lasic', 'Keth Allen. M. Nambio', 'Jeannelle. B. Prieto', 'Ma. Rose M. Vitto']",Other
2023,"The Effects of ?Tutok Kainan? Dietary Supplementation Program Amongst Selected 6-23 Months Children of The Municipality of Boac, Marinduque.","Rhaby L. De la Cruz, Marielle Ann G. Rosales & Djoanna Izabelle L. Zoleta",Completed,2023-05-07,2023-05-11,MHRDC 12th Health Research Forum ? MIMAROPA Health Research and Development Consortium,"Makati Palace Hotel, Manila ? via Zoom",Regional,"November 14-15, 2023",False,"['Rhaby L. De la Cruz', 'Marielle Ann G. Rosales & Djoanna Izabelle L. Zoleta']",Other
2023,"An Ethnobotanical Study on the Plants used by the Traditional Healers in the Selected Barangays of Gasan, Buenavista and Torrijos, Marinduque.","Angela S. Canon,
Joy Ann L. Majaba &
Genine Ritchel M. Sales",Completed,2023-05-08,2023-05-11,MHRDC 12th Health Research Forum ? MIMAROPA Health Research and Development Consortium,"Makati Palace Hotel, Manila ? via Zoom",Regional,"November 14-15, 2023",False,"['Angela S. Canon', 'Joy Ann L. Majaba &', 'Genine Ritchel M. Sales']",Other
2023,"?Dapat Ganito, Dapat Ganyan?: A Comparative Analysis of Social Expectations for Males and Females","Rommuel B. Luto
May C. Fabrero
Joshua Aaron M. Pagulayan",Completed,2023-05-08,2023-05-11,1st National GAD Research Conference  ,Via Zoom,National,"November 15-17, 2023",False,"['Rommuel B. Luto', 'May C. Fabrero', 'Joshua Aaron M. Pagulayan']",Other
2023,My Son is Gay: Stories of Father as Parents to Homosexuals,"Mark John L. Rodelas
Marianne Rose D. Ferrera
Arnel M. Lantita",Completed,2023-07-15,2023-10-15,1st National GAD Research Conference  ,Via Zoom,National,"November 15-17, 2023",False,"['Mark John L. Rodelas', 'Marianne Rose D. Ferrera', 'Arnel M. Lantita']",Other
